URL;ASIN;Title;Brand;Fulfillment;Category;BSR;Subcategory;Price;Price Trend (90 days) (%);Monthly Sales;Sales Trend (90 days) (%);Monthly Revenue;Review Count;Reviews Rating;Seller;Number of Active Sellers;Last Year Sales;Sales Year Over Year (%);Size Tier;Length;Width;Height;Weight;Storage Fee (Jan - Sep);Storage Fee (Oct - Dec);Best Sales Period;Age (Month);Number of Images;Variation Count;Sales to Reviews
https://amazon.com/dp/B0933BVK6T;B0933BVK6T;Apple AirTag;Apple;Amazon;Electronics;1;Finders;27.99;-1.0;38393;6.0;1074620.07;164246.0;4.7;Amazon;4;453742.0;4.0;Small Standard-Size;0.47;3.23;3.27;0.09;;;12/01/2023;33;6;0;0.23
https://amazon.com/dp/B0932QJ2JZ;B0932QJ2JZ;Apple AirTag 4 Pack;Apple;Amazon;Electronics;3;Finders;84.99;-2.0;37100;0.0;3153129.0;103451.0;4.8;Amazon;4;448407.0;9.0;Small Standard-Size;0.75;3.23;5.2;0.2;;;05/01/2023;33;6;0;0.36
https://amazon.com/dp/B0CHWRXH8B;B0CHWRXH8B;Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio;Apple;Amazon;Electronics;2;Earbud Headphones;189.0;-6.0;36418;7.0;6883002.0;8121.0;4.7;Amazon;4;;;Large Standard-Size;2.09;4.45;4.49;0.51;;;12/01/2023;4;6;1;4.48
https://amazon.com/dp/B07PXGQC1Q;B07PXGQC1Q;Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone;Apple;Amazon;Electronics;4;Earbud Headphones;99.0;-1.0;35754;-4.0;3539646.0;604538.0;4.7;Amazon;3;426035.0;;Large Standard-Size;1.34;3.86;3.9;0.4;;;03/01/2023;58;6;0;0.06
https://amazon.com/dp/B09BKHHL5H;B09BKHHL5H;Surge Protector USB Outlet Extender - 5-Outlet Splitter Wall Charger with 4 USB Ports (1 USB C) 3 Sided 1680J Power Strip Multi Plug Outlet Wall Adapter Spaced for Home Travel Office, ETL Listed;Lvetek;FBA;Electronics;11;Surge Protectors;12.98;-8.0;32186;61.0;417774.28;16681.0;4.7;RONGDAXING TECH;3;208240.0;;Large Standard-Size;2.63;3.82;5.66;0.49;22.73;79.07;01/01/2024;26;8;0;1.93
https://amazon.com/dp/B01LXJFMGF;B01LXJFMGF;Apple Lightning to 3.5 mm Headphone Jack Adapter;Apple;Amazon;Electronics;16;Audio Adapters;7.99;;28637;3.0;228809.63;228417.0;4.7;Amazon;2;373104.0;;Small Standard-Size;0.67;2.64;2.68;0.02;;;08/01/2022;88;2;0;0.13
https://amazon.com/dp/B07SHFPD8S;B07SHFPD8S;Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivel Tilt Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell;Pipishell;FBA;Electronics;27;TV Wall & Ceiling Mounts;21.99;-6.0;28414;10.0;624823.86;115861.0;4.6;Pipishell;1;;;Large Standard-Size;2.44;6.38;9.72;3.07;60.42;210.16;05/01/2023;53;6;0;0.25
https://amazon.com/dp/B0BCH5H2R3;B0BCH5H2R3;Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV;Roku;Amazon;Electronics;30;Streaming Media Players;29.0;;27856;25.0;807824.0;29673.0;4.7;Amazon;22;347557.0;;Large Standard-Size;1.81;4.02;6.57;0.51;;;03/01/2023;16;10;0;0.94
https://amazon.com/dp/B0916TKFF2;B0916TKFF2;Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV;Roku;Amazon;Electronics;19;Streaming Media Players;38.31;27.0;27730;-14.0;1062336.3;70110.0;4.7;Amazon;45;354336.0;1.0;Large Standard-Size;1.73;4.29;6.69;0.6;;;03/01/2022;33;10;0;0.4
https://amazon.com/dp/B09BKCDXZC;B09BKCDXZC;Roku Streaming Stick - Portable 4K/HDR/Dolby Vision Streaming Device, Voice Remote, Free & Live TV;Roku;FBA;Electronics;32;Streaming Media Players;49.5;8.0;25356;-15.0;1255122.0;70052.0;4.7;Jazzer Shack;42;343916.0;-13.0;Large Standard-Size;1.7;5.6;5.75;0.6;21.86;76.03;11/01/2022;28;11;1;0.36
https://amazon.com/dp/B0BDHB9Y8H;B0BDHB9Y8H;Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life;Apple;Amazon;Electronics;18;Earbud Headphones;159.99;7.0;24973;-27.0;3995430.27;16567.0;4.5;Amazon;5;314876.0;;Large Standard-Size;1.73;4.29;4.88;0.4;;;10/01/2023;16;7;0;1.51
https://amazon.com/dp/B07K25P3N1;B07K25P3N1;Apple USB-C to 3.5 mm Headphone Jack Adapter;Apple;Amazon;Electronics;37;Audio Adapters;8.48;;23947;36.0;203070.56;28513.0;4.5;Amazon;2;220885.0;;Small Standard-Size;0.67;2.64;2.68;0.02;;;10/01/2023;62;3;0;0.84
https://amazon.com/dp/B00NKYYMAW;B00NKYYMAW;"Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket";Mounting Dream;FBA;Electronics;41;TV Wall & Ceiling Mounts;32.99;-4.0;23798;5.0;785096.02;104582.0;4.7;Mounting Dream;2;;;Large Standard-Size;2.83;9.33;17.2;6.42;181.7;632.02;04/01/2023;108;9;0;0.23
https://amazon.com/dp/B08MTBCXWX;B08MTBCXWX;6Ft Power Strip Surge Protector - Yintar Extension Cord with 6 AC Outlets and 3 USB Ports for for Home, Office, Dorm Essentials, 1680 Joules, ETL Listed, (Black);Yintar;FBA;Electronics;55;Power Strips;12.99;-10.0;23382;105.0;303732.18;19206.0;4.7;ANDAXING TECH;1;193931.0;-9.0;Large Standard-Size;1.89;4.53;12.95;0.71;44.27;153.99;01/01/2023;38;7;0;1.22
https://amazon.com/dp/B08HT46TVP;B08HT46TVP;[3 Pairs] Replacement Ear Tips for Airpods Pro and Airpods Pro 2nd Generation with Noise Reduction Hole, Silicone Ear Tips for Airpods Pro with Portable Storage Box and Fit in The Charging Case(S/M/L);YUWAKAYI;FBA;Electronics;48;Earpads;9.99;;20379;14.0;203586.21;18044.0;4.3;jin hua qing;1;255192.0;;Small Standard-Size;0.63;1.77;1.89;0.04;0.84;2.93;03/01/2023;39;7;0;1.13
https://amazon.com/dp/B09GY8YCS2;B09GY8YCS2;LOUTOC Replacement Remote Control Only for All Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku Series Smart TVs (Not for Roku Stick and Box);LOUTOC;FBA;Electronics;65;Remote Controls;6.77;-1.0;19965;35.0;135163.05;25460.0;4.4;JC-Sky;1;206471.0;;Large Standard-Size;1.1;4.17;5.83;0.11;10.7;37.23;08/01/2022;27;7;0;0.79
https://amazon.com/dp/B08T8CZYF3;B08T8CZYF3;SK SYUKUYU RF Remote Control Page Turner for Kindle Reading Ipad Surface Comics, iPhone Android Tablets Reading Novels Taking Photos;SK SYUKUYU;FBA;Electronics;87;Remote Controls;33.99;4.0;19792;46.0;672730.08;7041.0;4.5;SK SYUKUYU;1;;;Large Standard-Size;1.34;3.58;4.25;0.24;8.14;28.31;12/01/2023;33;12;0;2.81
https://amazon.com/dp/B071FXZBMV;B071FXZBMV;OHill Desk Cable Management Cord Organizer, 16 Pack Black Self Adhesive Cord Holder Cable Clips, Ideal Cable Organizer Wire Keeper for Desk, Nightstand, Phone Charger, Computer, Home, Office, Car;OHill;FBA;Electronics;56;Cable Straps;7.99;-18.0;19572;66.0;156380.28;60299.0;4.4;OHill Direct;1;221128.0;-20.0;Small Standard-Size;0.62;7.01;8.54;0.33;14.71;51.15;03/01/2022;77;8;0;0.32
https://amazon.com/dp/B08CZ1FYBD;B08CZ1FYBD;Newest Universal Remote Control for All Samsung TV Remote Compatible All Samsung LCD LED HDTV 3D Smart TVs Models;ATA-D;FBA;Electronics;60;Remote Controls;9.96;-8.0;18818;31.0;187427.28;14600.0;4.4;ruichenggongsi;1;230753.0;;Large Standard-Size;1.14;3.62;7.82;0.15;12.88;44.8;01/01/2023;41;8;0;1.29
https://amazon.com/dp/B0B9HS6DLZ;B0B9HS6DLZ;Chromecast with Google TV (HD) - Streaming Stick Entertainment on Your TV with Voice Search - Watch Movies, Shows, and Live TV in 1080p HD - Snow;Google;Amazon;Electronics;159;Streaming Media Players;29.17;19.0;18378;33.0;536086.26;10119.0;4.6;Amazon;33;204777.0;;Large Standard-Size;1.93;4.33;5.59;0.64;;;09/01/2023;17;12;0;1.82
https://amazon.com/dp/B07CXF452P;B07CXF452P;"USX MOUNT Full Motion TV Wall Mount for Most 47-84 inch Flat Screen/LED/4K TV, Mount Bracket Dual Swivel Articulating Tilt 6 Arms, Max VESA 600x400mm, Holds up to 132lbs, Fits 8” 12” 16"" Wood Studs";USX MOUNT;FBA;Electronics;69;TV Wall & Ceiling Mounts;48.99;-1.0;18312;-9.0;897104.88;44042.0;4.8;X-Mount;3;;;Large Standard-Size;2.91;11.61;17.44;12.65;235.28;818.35;05/01/2023;66;9;0;0.42
https://amazon.com/dp/B0B1HJ666G;B0B1HJ666G;Mac Book Pro Charger - 118W USB C Charger Fast Charger for USB C Port MacBook pro/Air, ipad Pro, Samsung Galaxy and All USB C Device, Include Charge Cable（7.2ft/2.2m）;Sunveza;FBA;Electronics;67;Chargers & Adapters;37.99;2.0;17440;18.0;662545.6;2930.0;4.6;ixcv-Charger.Store;3;154996.0;;Large Standard-Size;1.93;4.41;5.24;0.51;17.81;61.94;09/01/2023;20;7;0;5.95
https://amazon.com/dp/B0B687J37D;B0B687J37D;N NOROCME 192 PCS Cable Management Kit 4 Wire Organizer Sleeve,11 Cable Holder,35Cord Clips 10+2 Roll Cable Organizer Straps and 100 Fastening Cable Ties for Computer TV Under Desk, black,clear;N NOROCME;FBA;Electronics;80;Cable Straps;14.99;-2.0;16685;73.0;250108.15;2891.0;4.6;Lekke;1;140516.0;;Large Standard-Size;1.93;5.6;9.08;0.66;39.17;136.23;09/01/2023;18;9;0;5.77
https://amazon.com/dp/B098WVKF19;B098WVKF19;REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Free 32GB Card, Built-in Wi-Fi GPS, 3.16” IPS Screen, Night Vision, 170°Wide Angle, WDR, 24H Parking Mode;REDTIGER;FBA;Electronics;92;On-Dash Cameras;149.99;-6.0;16180;12.0;2426838.2;10266.0;4.4;REDTIGER-Direct;3;174793.0;317.0;Large Standard-Size;2.85;6.69;7.91;1.46;60.22;209.47;12/01/2023;30;9;0;1.58
https://amazon.com/dp/B01AQ6OWAG;B01AQ6OWAG;SAMSUNG TV Remote Control BN59-01199F by Samsung;SAMSUNG;FBA;Electronics;85;Remote Controls;6.3;-26.0;15837;97.0;99773.1;25334.0;4.7;Sourcing Remote;16;108928.0;;Large Standard-Size;1.02;1.85;6.93;0.18;5.22;18.16;08/01/2022;95;5;0;0.63
https://amazon.com/dp/B00SFSU53G;B00SFSU53G;Mounting Dream TV Wall Mount for 32-65 Inch TV, TV Mount with Swivel and Tilt, Full Motion TV Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380;Mounting Dream;FBA;Electronics;74;TV Wall & Ceiling Mounts;39.99;-6.0;15837;35.0;633321.63;38432.0;4.8;Mounting Dream;2;;;Large Standard-Size;3.23;11.5;17.7;11.18;262.53;913.15;09/01/2023;105;9;0;0.41
https://amazon.com/dp/B08KY684PB;B08KY684PB;COMSOON Bluetooth Receiver for Car, Noise Cancelling 3.5mm AUX Bluetooth Car Adapter, Wireless Audio Receiver for Home Stereo/Wired Headphones, Hands-Free Call, 16H Battery Life - Black+Silver;COMSOON;FBA;Electronics;75;Car Stereo Receivers;16.99;5.0;15571;-9.0;264551.29;40777.0;4.4;Comsoon Tech-US;1;236860.0;-11.0;Large Standard-Size;0.83;2.76;6.38;0.18;5.84;20.3;05/01/2022;39;7;0;0.38
https://amazon.com/dp/B0B7B6KLH3;B0B7B6KLH3;【Pack of 2】 New Universal Remote for All Samsung TV Remote, Replacement Compatible for All Samsung Smart TV, LED, LCD, HDTV, 3D, Series TV;LOUTOC;FBA;Electronics;91;Remote Controls;9.97;-11.0;15026;41.0;149809.22;5947.0;4.5;HTH.INC;1;176913.0;;Large Standard-Size;1.34;4.17;8.35;0.31;18.62;64.76;05/01/2023;17;8;0;2.53
https://amazon.com/dp/B08KRV7S22;B08KRV7S22;Google Chromecast with Google TV (4K)- Streaming Stick Entertainment with Voice Search - Watch Movies, Shows, and Live TV in 4K HDR - Snow;Google;Amazon;Electronics;97;Streaming Media Players;49.98;6.0;14610;6.0;730207.8;11737.0;4.6;Amazon;16;166857.0;;Large Standard-Size;2.05;4.41;5.2;0.64;;;09/01/2022;21;9;0;1.25
https://amazon.com/dp/B078T633Q9;B078T633Q9;RC280 Replace Remote Applicable for TCL Roku TV 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS3700 55FS3700 65S405 43S405 49S405 40S3800 50S431 55S431 43S435 50S435 43S525;ZdalaMit;FBA;Electronics;110;Remote Controls;6.94;;13781;-13.0;95640.14;79714.0;4.5;Delighted  inc;2;218535.0;;Large Standard-Size;0.87;1.65;5.43;0.09;3.11;10.83;08/01/2022;72;10;0;0.17
https://amazon.com/dp/B0BCPC68J6;B0BCPC68J6;Multi Plug Outlet Surge Protector - POWRUI 6 Outlet Extender with 3 USB Ports (1 USB C) and Night Light, 3-Sided Power Strip with Adapter Spaced Outlets - White，ETL Listed;POWRUI;FBA;Electronics;24;Power Strips;9.99;-3.0;13548;65.0;135344.52;5178.0;4.7;POWRUI;1;103465.0;;Large Standard-Size;2.89;4.06;5.94;0.59;27.84;96.84;09/01/2023;15;8;0;2.62
https://amazon.com/dp/B089T1SX32;B089T1SX32;Charger for HP Laptop Computer 65W 45W Smart Blue Tip Power Adapter;HIBBO;FBA;Electronics;85;Chargers & Adapters;9.9;;13293;51.0;131600.7;2399.0;4.6;ChenDuMinLiBoKeJiYouXianGongSi;4;54323.0;422.0;Large Standard-Size;2.05;4.45;7.13;0.68;25.97;90.34;01/01/2024;42;7;0;5.62
