"ASIN","Buy Box 🚚: Current","Title","Sales Rank: Current","Sales Rank: 90 days avg.","Sales Rank: Drops last 90 days","Sales Rank: Subcategory Sales Ranks","Bought in past month"
"B0933BVK6T","$ 27.99","Apple AirTag","1","3","33","# 1 | Top 1% | Item Finders","10000"
"B0932QJ2JZ","$ 84.99","Apple AirTag 4 Pack","3","3","98","# 2 | Top 1% | Item Finders","10000"
"B0CHWRXH8B","$ 189.00","Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio","2","5","100","# 1 | Top 1% | Earbud & In-Ear Headphones","10000"
"B07PXGQC1Q","$ 99.00","Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone","4","5","105","# 2 | Top 1% | Earbud & In-Ear Headphones","10000"
"B09BKHHL5H","$ 12.98","Surge Protector USB Outlet Extender - 5-Outlet Splitter Wall Charger with 4 USB Ports (1 USB C) 3 Sided 1680J Power Strip Multi Plug Outlet Wall Adapter Spaced for Home Travel Office, ETL Listed","13","41","197","# 1 | Top 1% | Surge Protectors","10000"
"B07SHFPD8S","$ 21.99","Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivel Tilt Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell","26","34","202","# 1 | Top 1% | TV Wall & Ceiling Mounts","10000"
"B0BCH5H2R3","$ 29.00","Roku Express | HD Roku Streaming Device with Simple Remote (no TV controls), Free & Live TV","28","45","236","# 6 | Top 1% | Streaming Media Players","10000"
"B0916TKFF2","$ 39.00","Roku Express 4K+ | Roku Streaming Device 4K/HDR, Roku Voice Remote, Free & Live TV","19","27","219","# 5 | Top 1% | Streaming Media Players","10000"
"B09BKCDXZC","$ 48.00","Roku Streaming Stick - Portable 4K/HDR/Dolby Vision Streaming Device, Voice Remote, Free & Live TV","38","31","257","# 7 | Top 1% | Streaming Media Players","10000"
"B0BDHB9Y8H","$ 159.99","Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life","18","27","305","# 4 | Top 1% | Earbud & In-Ear Headphones","10000"
"B07K25P3N1","$ 8.48","Apple USB-C to 3.5 mm Headphone Jack Adapter","37","76","233","# 2 | Top 1% | Headphone Adapters","10000"
"B00NKYYMAW","$ 32.99","Mounting Dream UL Listed TV Mount for Most 37-75 Inch TV, Universal Tilt TV Wall Mount Fit 16"", 18"", 24"" Stud with Loading Capacity 132lbs, Max Vesa 600 x 400mm, Low Profile Flat Wall Mount Bracket","41","60","234","# 2 | Top 1% | TV Wall & Ceiling Mounts","10000"
"B08MTBCXWX","$ 12.99","6Ft Power Strip Surge Protector - Yintar Extension Cord with 6 AC Outlets and 3 USB Ports for for Home, Office, Dorm Essentials, 1680 Joules, ETL Listed, (Black)","55","160","241","# 8 | Top 1% | Power Strips","10000"
"B08HT46TVP","$ 9.99","[3 Pairs] Replacement Ear Tips for Airpods Pro and Airpods Pro 2nd Generation with Noise Reduction Hole, Silicone Ear Tips for Airpods Pro with Portable Storage Box and Fit in The Charging Case(S/M/L)","46","114","183","# 1 | Top 1% | Headphone Earpads","10000"
"B09GY8YCS2","$ 6.77","LOUTOC Replacement Remote Control Only for All Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku Series Smart TVs (Not for Roku Stick and Box)","71","138","208","# 3 | Top 1% | Remote Controls","10000"
"B08T8CZYF3","$ 33.99","SK SYUKUYU RF Remote Control Page Turner for Kindle Reading Ipad Surface Comics, iPhone Android Tablets Reading Novels Taking Photos","95","88","235","# 7 | Top 1% | Remote Controls","10000"
